16:34:13.459 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在读取源数据--》  csx_b2b_data_center.fixation_report_add_customer 
16:34:13.470 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - select sdt, sales_province, sales_province_code, city_real, channel, channel_code, customer_no, customer_name, update_by, create_date, sign_date, sign_amount, contract_begin, contract_end, attribute_code, attribute, first_category, first_category_code, second_category, second_category_code, third_category, third_category_code, work_no, sales_name, sales_supervisor_name, sales_supervisor_work_no, district_manager_name, district_manager_work_no, sdt_min, sdts, sale, sale_avg, profit from csx_b2b_data_center.fixation_report_add_customer
16:34:14.154 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在组装插入SQL(fixation_report_add_customer)
16:35:44.186 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交 1500 行数据
16:37:13.389 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交 1500 行数据
16:38:42.565 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交 1500 行数据
16:39:14.714 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - rows insert into fixation_report_add_customer is 542
16:39:14.719 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - insert into fixation_report_add_customer 5042 rows is done. cost 300.542 seconds
16:39:14.719 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经全部同步完成
16:47:33.773 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitStart
16:47:35.773 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitEnd
16:47:41.420 [AWT-EventQueue-0] INFO  c.l.wesync.tools.DbUtilMySQL - init database connection success-->10.252.193.44/csx_b2b_data_center
16:47:42.115 [AWT-EventQueue-0] INFO  c.l.wesync.tools.DbUtilMySQL - init database connection success-->10.252.193.28/data_hub
16:47:42.116 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - from 10.252.193.44 connection establied.
